method,source_index,image_id,snr_db,seed,N,E,diagnostic_only,header_ok,normalized_latent,psnr_db,lpips_alex,dino_cosine
actual_RX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,True,True,0.36455708742141724,22.362937927246094,0.09507456421852112,0.8290539979934692
oracle_TX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,True,True,0.3962370753288269,22.0917911529541,0.10004964470863342,0.8124046325683594
oracle_TX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,4084,8168,True,True,0.36455708742141724,22.362937927246094,0.09507456421852112,0.8290539979934692
Dc_F_representation_reference,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2002,not_a_wireless_method,not_a_wireless_method,True,True,0.0,24.301830291748047,0.051637545228004456,0.9091372489929199
actual_RX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,False,True,0.39718297123908997,22.21414566040039,0.09639366716146469,0.8120174407958984
actual_RX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,True,True,0.36455708742141724,22.362937927246094,0.09507456421852112,0.8290539979934692
oracle_TX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,True,True,0.39718297123908997,22.21414566040039,0.09639366716146469,0.8120174407958984
oracle_TX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,4084,8168,True,True,0.36455708742141724,22.362937927246094,0.09507455676794052,0.8290539979934692
Dc_F_representation_reference,1,n01601694/ILSVRC2012_val_00021656_n01601694,7.0,2003,not_a_wireless_method,not_a_wireless_method,True,True,0.0,24.301830291748047,0.051637545228004456,0.9091372489929199
actual_RX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,4084,8168,False,True,0.3768615126609802,22.341297149658203,0.09585452824831009,0.8324712514877319
actual_RX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,4084,8168,True,True,0.36652323603630066,22.373273849487305,0.09347712993621826,0.8333977460861206
oracle_TX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,4084,8168,True,True,0.3768615126609802,22.341297149658203,0.09585452824831009,0.8324712514877319
oracle_TX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,4084,8168,True,True,0.36652323603630066,22.373273849487305,0.09347712993621826,0.8333977460861206
Dc_F_representation_reference,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2001,not_a_wireless_method,not_a_wireless_method,True,True,0.0,24.301830291748047,0.051637545228004456,0.9091372489929199
actual_RX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,4084,8168,False,True,0.37632322311401367,22.25553321838379,0.09425917267799377,0.8179460763931274
actual_RX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,4084,8168,True,True,0.36652323603630066,22.373273849487305,0.09347712993621826,0.8333977460861206
oracle_TX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,4084,8168,True,True,0.37632322311401367,22.25553321838379,0.09425917267799377,0.8179460763931274
oracle_TX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,4084,8168,True,True,0.36652323603630066,22.373273849487305,0.09347712993621826,0.8333977460861206
Dc_F_representation_reference,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2002,not_a_wireless_method,not_a_wireless_method,True,True,0.0,24.301830291748047,0.051637545228004456,0.9091372489929199
actual_RX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,4084,8168,False,True,0.37730127573013306,22.333911895751953,0.09253151714801788,0.8213999271392822
actual_RX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,4084,8168,True,True,0.36652323603630066,22.373273849487305,0.09347712993621826,0.8333977460861206
oracle_TX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,4084,8168,True,True,0.37730127573013306,22.333911895751953,0.09253151714801788,0.8213999271392822
oracle_TX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,4084,8168,True,True,0.36652323603630066,22.373273849487305,0.09347712993621826,0.8333977460861206
Dc_F_representation_reference,1,n01601694/ILSVRC2012_val_00021656_n01601694,13.0,2003,not_a_wireless_method,not_a_wireless_method,True,True,0.0,24.301830291748047,0.051637545228004456,0.9091372489929199
actual_RX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,4084,8168,False,True,0.37138670682907104,22.366064071655273,0.09394866973161697,0.8322527408599854
actual_RX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,4084,8168,True,True,0.3683580756187439,22.36819076538086,0.0932474285364151,0.8347361087799072
oracle_TX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,4084,8168,True,True,0.37138670682907104,22.366064071655273,0.09394867718219757,0.8322527408599854
oracle_TX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,4084,8168,True,True,0.3683580756187439,22.36819076538086,0.0932474285364151,0.8347361087799072
Dc_F_representation_reference,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2001,not_a_wireless_method,not_a_wireless_method,True,True,0.0,24.301830291748047,0.051637545228004456,0.9091372489929199
actual_RX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,4084,8168,False,True,0.3708796501159668,22.32204246520996,0.09251821041107178,0.8266419768333435
actual_RX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,4084,8168,True,True,0.3683580756187439,22.36819076538086,0.0932474285364151,0.8347361087799072
oracle_TX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,4084,8168,True,True,0.3708796501159668,22.32204246520996,0.09251820296049118,0.8266419768333435
oracle_TX_zero_noise,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,4084,8168,True,True,0.3683580756187439,22.36819076538086,0.0932474136352539,0.8347361087799072
Dc_F_representation_reference,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2002,not_a_wireless_method,not_a_wireless_method,True,True,0.0,24.301830291748047,0.051637545228004456,0.9091372489929199
actual_RX_AWGN,1,n01601694/ILSVRC2012_val_00021656_n01601694,19.0,2003,4084,8168,False,True,0.371490478515625,22.36475944519043,0.09225913882255554,0.8297635316848755
