method,source_index,snr_db,seed,repeat,position,tx_ms,rx_ms,total_ms
pure_continuous,22,13.0,2001,0,2,7.412155042402446,11.149985017254949,18.562140059657395
light_tx,22,13.0,2001,1,0,10.979288024827838,113.99380001239479,124.97308803722262
pure_continuous,22,13.0,2001,1,1,7.404169999063015,11.157507076859474,18.56167707592249
full_tx_control,22,13.0,2001,1,2,111.69701197650284,113.86485199909657,225.5618639755994
full_tx_control,22,19.0,2001,0,0,111.76285007968545,114.2153040273115,225.97815410699695
light_tx,22,19.0,2001,0,1,10.995321907103062,113.86104999110103,124.85637189820409
pure_continuous,22,19.0,2001,0,2,7.411114987917244,11.15891500376165,18.570029991678894
light_tx,22,19.0,2001,1,0,10.97657298669219,113.85398206766695,124.83055505435914
pure_continuous,22,19.0,2001,1,1,7.399464957416058,11.166644049808383,18.56610900722444
full_tx_control,22,19.0,2001,1,2,111.91629793029279,114.34996605385095,226.26626398414373
pure_continuous,33,1.0,2001,0,0,7.417317014187574,11.170948040671647,18.58826505485922
full_tx_control,33,1.0,2001,0,1,111.87108303420246,114.17690990492702,226.04799293912947
light_tx,33,1.0,2001,0,2,10.982912965118885,114.50657399836928,125.48948696348816
full_tx_control,33,1.0,2001,1,0,115.07192393764853,114.4399109762162,229.51183491386473
light_tx,33,1.0,2001,1,1,11.060429038479924,114.1097650397569,125.17019407823682
pure_continuous,33,1.0,2001,1,2,7.41899199783802,11.203423026017845,18.622415023855865
pure_continuous,33,4.0,2001,0,0,7.4002479668706656,11.213841964490712,18.614089931361377
full_tx_control,33,4.0,2001,0,1,111.63302091881633,114.14899805095047,225.7820189697668
light_tx,33,4.0,2001,0,2,11.008678935468197,113.98616502992809,124.99484396539629
full_tx_control,33,4.0,2001,1,0,111.67071596719325,114.37586799729615,226.0465839644894
light_tx,33,4.0,2001,1,1,10.984083986841142,113.68365795351565,124.66774194035679
pure_continuous,33,4.0,2001,1,2,7.400178001262248,11.199445929378271,18.59962393064052
pure_continuous,33,7.0,2001,0,0,7.402210962027311,11.189745971933007,18.59195693396032
full_tx_control,33,7.0,2001,0,1,111.2337289378047,113.31260099541396,224.54632993321866
light_tx,33,7.0,2001,0,2,10.977343074046075,113.43489401042461,124.41223708447069
full_tx_control,33,7.0,2001,1,0,111.51430895552039,113.36127005051821,224.8755790060386
light_tx,33,7.0,2001,1,1,11.0120550962165,113.41556196566671,124.42761706188321
pure_continuous,33,7.0,2001,1,2,7.392444997094572,11.166694923304021,18.559139920398593
pure_continuous,33,13.0,2001,0,0,7.39964097738266,11.176469968631864,18.576110946014524
full_tx_control,33,13.0,2001,0,1,111.26141110435128,113.70912694837898,224.97053805273026
light_tx,33,13.0,2001,0,2,11.115572066046298,113.76305401790887,124.87862608395517
full_tx_control,33,13.0,2001,1,0,111.56713694799691,113.49795805290341,225.06509500090033
light_tx,33,13.0,2001,1,1,10.996351949870586,113.68963203858584,124.68598398845643
pure_continuous,33,13.0,2001,1,2,7.401535985991359,11.193240992724895,18.594776978716254
pure_continuous,33,19.0,2001,0,0,7.398572051897645,11.198705062270164,18.59727711416781
full_tx_control,33,19.0,2001,0,1,111.66646692436188,113.48663398530334,225.15310090966523
light_tx,33,19.0,2001,0,2,10.994796990416944,113.56093001086265,124.55572700127959
full_tx_control,33,19.0,2001,1,0,111.22417391743511,113.37593500502408,224.60010892245919
light_tx,33,19.0,2001,1,1,10.963700013235211,113.8100849930197,124.77378500625491
pure_continuous,33,19.0,2001,1,2,7.398084970191121,11.179412016645074,18.577496986836195
light_tx,44,1.0,2001,0,0,10.964820976369083,113.32804802805185,124.29286900442094
pure_continuous,44,1.0,2001,0,1,7.403884083032608,11.147021083161235,18.550905166193843
full_tx_control,44,1.0,2001,0,2,110.89636199176311,113.34888089913875,224.24524289090186
pure_continuous,44,1.0,2001,1,0,7.3983450420200825,11.16056099999696,18.558906042017043
full_tx_control,44,1.0,2001,1,1,110.84358196239918,113.30495600122958,224.14853796362877
light_tx,44,1.0,2001,1,2,11.001547914929688,113.38034295476973,124.38189086969942
light_tx,44,4.0,2001,0,0,10.949207004159689,113.47109195776284,124.42029896192253
pure_continuous,44,4.0,2001,0,1,7.381862960755825,11.192212929017842,18.574075889773667
full_tx_control,44,4.0,2001,0,2,110.94048200175166,113.47969493363053,224.4201769353822
pure_continuous,44,4.0,2001,1,0,7.3945269687101245,11.1856380244717,18.580164993181825
full_tx_control,44,4.0,2001,1,1,112.36899998039007,113.88344399165362,226.2524439720437
